Timestamp,"By pressing ""I consent"" and submitting the questionnaire, you are indicating that you have given consent to participate in our research. No personal data is saved nor used. ",Question 1 [Which image do you like best?],Question 1 [Which image do you like second best?],Question 1 [Which image do you like third best],Question 1 [Which image do you like least],Question 2 [Which image do you like best?],Question 2 [Which image do you like second best?],Question 2 [Which image do you like third best],Question 2 [Which image do you like least],Question 3 [Which image do you like best?],Question 3 [Which image do you like second best?],Question 3 [Which image do you like third best],Question 3 [Which image do you like least],Question 4 [Which image do you like best?],Question 4 [Which image do you like second best?],Question 4 [Which image do you like third best],Question 4 [Which image do you like least],Question 5 [Which image do you like best?],Question 5 [Which image do you like second best?],Question 5 [Which image do you like third best],Question 5 [Which image do you like least],Question 6 [Which image do you like best?],Question 6 [Which image do you like second best?],Question 6 [Which image do you like third best],Question 6 [Which image do you like least],Question 7 [Which image do you like best?],Question 7 [Which image do you like second best?],Question 7 [Which image do you like third best],Question 7 [Which image do you like least],Question 8 [Which image do you like best?],Question 8 [Which image do you like second best?],Question 8 [Which image do you like third best],Question 8 [Which image do you like least],Question 9 [Which image do you like best?],Question 9 [Which image do you like second best?],Question 9 [Which image do you like third best],Question 9 [Which image do you like least],Question 10 [Which image do you like best?],Question 10 [Which image do you like second best?],Question 10 [Which image do you like third best],Question 10 [Which image do you like least],Question 11 [Which image do you like best?],Question 11 [Which image do you like second best?],Question 11 [Which image do you like third best],Question 11 [Which image do you like least],Question 12 [Which image do you like best?],Question 12 [Which image do you like second best?],Question 12 [Which image do you like third best],Question 12 [Which image do you like least],Question 13 [Which image do you like best?],Question 13 [Which image do you like second best?],Question 13 [Which image do you like third best],Question 13 [Which image do you like least],Question 14 [Which image do you like best?],Question 14 [Which image do you like second best?],Question 14 [Which image do you like third best],Question 14 [Which image do you like least],Question 15 [Which image do you like best?],Question 15 [Which image do you like second best?],Question 15 [Which image do you like third best],Question 15 [Which image do you like least],Question 16 [Which image do you like best?],Question 16 [Which image do you like second best?],Question 16 [Which image do you like third best],Question 16 [Which image do you like least],Do you have any comments about which features in the images you find appealing?
09/06/2023 13:26:33,I consent,Image 4,Image 1,Image 3,Image 2,Image 2,Image 4,Image 3,Image 1,Image 3,Image 4,Image 1,Image 2,Image 1,Image 3,Image 2,Image 4,Image 2,Image 3,Image 4,Image 1,Image 1,Image 3,Image 4,Image 2,Image 2,Image 3,Image 4,Image 1,Image 3,Image 1,Image 4,Image 2,Image 1,Image 2,Image 4,Image 3,Image 1,Image 4,Image 3,Image 2,Image 2,Image 1,Image 4,Image 3,Image 3,Image 1,Image 2,Image 4,Image 4,Image 1,Image 2,Image 3,Image 2,Image 3,Image 1,Image 4,Image 2,Image 3,Image 1,Image 4,Image 2,Image 3,Image 1,Image 4,
09/06/2023 14:06:59,I consent,Image 1,Image 4,Image 3,Image 2,Image 2,Image 3,Image 4,Image 1,Image 3,Image 1,Image 4,Image 2,Image 1,Image 2,Image 3,Image 4,Image 2,Image 1,Image 4,Image 3,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 1,Image 3,Image 2,Image 4,Image 1,Image 1,Image 4,Image 3,Image 2,Image 1,Image 4,Image 3,Image 2,Image 2,Image 3,Image 4,Image 1,Image 3,Image 2,Image 4,Image 1,Image 4,Image 1,Image 3,Image 2,Image 2,Image 3,Image 1,Image 4,Image 2,Image 3,Image 1,Image 4,Image 1,Image 4,Image 2,Image 3,The ones that are clear and look the most natural to me are more appealing.
09/06/2023 14:16:26,I consent,Image 3,Image 2,Image 1,Image 4,Image 4,Image 3,Image 2,Image 1,Image 3,Image 1,Image 4,Image 2,Image 2,Image 3,Image 4,Image 1,Image 3,Image 2,Image 1,Image 4,Image 2,Image 1,Image 4,Image 3,Image 1,Image 3,Image 4,Image 2,Image 1,Image 4,Image 2,Image 3,Image 2,Image 4,Image 3,Image 1,Image 2,Image 3,Image 1,Image 4,Image 3,Image 4,Image 2,Image 1,Image 1,Image 4,Image 2,Image 3,Image 2,Image 3,Image 1,Image 4,Image 3,Image 4,Image 1,Image 2,Image 1,Image 4,Image 3,Image 2,Image 1,Image 2,Image 3,Image 4,
09/06/2023 14:18:01,I consent,Image 1,Image 2,Image 4,Image 3,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 1,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 2,Image 4,Image 3,Image 1,Image 4,Image 2,Image 1,Image 3,Image 2,Image 4,Image 3,Image 1,Image 1,Image 3,Image 2,Image 4,Image 4,Image 2,Image 3,Image 1,Image 4,Image 3,Image 1,Image 2,Image 4,Image 2,Image 3,Image 1,Image 4,Image 3,Image 2,Image 1,Image 2,Image 3,Image 1,Image 4,Image 4,Image 2,Image 3,Image 1,
09/06/2023 14:43:02,I consent,Image 4,Image 1,Image 3,Image 2,Image 2,Image 4,Image 3,Image 1,Image 3,Image 4,Image 2,Image 1,Image 2,Image 1,Image 4,Image 3,Image 3,Image 2,Image 4,Image 1,Image 2,Image 3,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 1,Image 1,Image 2,Image 3,Image 4,Image 4,Image 1,Image 3,Image 2,Image 2,Image 4,Image 1,Image 3,Image 3,Image 2,Image 4,Image 1,Image 4,Image 2,Image 3,Image 1,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 1,"Vibrant in colour, strong contrasts, close up, full of life"
09/06/2023 15:02:38,I consent,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 4,Image 1,Image 3,Image 4,Image 2,Image 1,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 1,Image 1,Image 4,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 2,Image 4,Image 1,Image 3,Image 3,Image 1,Image 4,Image 2,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 1,Image 4,
09/06/2023 15:18:48,I consent,Image 3,Image 2,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,Image 1,Image 3,Image 4,Image 2,Image 2,Image 4,Image 3,Image 1,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 2,Image 1,Image 2,Image 4,Image 1,Image 3,Image 2,Image 3,Image 4,Image 1,Image 4,Image 3,Image 1,Image 2,Image 4,Image 2,Image 3,Image 1,Image 2,Image 1,Image 4,Image 3,Image 4,Image 2,Image 3,Image 1,Image 4,Image 3,Image 2,Image 1,Image 4,Image 3,Image 2,Image 1,Image 4,Image 2,Image 3,Image 1,Image 3,Image 4,Image 2,Image 1,"I very much went off of color first, composition second. I noticed that the oversaturated pictures seems over-edited, and thereby taking away the realism of the photo - making me dislike it. Parallel to this, big color contrast seen in for instance in the sunset pictures looked a bit “overdone” and commercial almost. Like generic apple/windows wallpaper - and for this reason I was not drawn to these pictures either. 
The more subdued tones were more pleasant for the eye, and seemed more realistic (but I realize that I might possible be impacted by the current minimalistic design trends, and the love for the neutral palette that’s very “up in the times”) 
As for the mountains and peaks in some of the pictures, I noticed to be more drawn to taller mountains - for more depth and a more interesting composition. "
09/06/2023 15:41:12,I consent,Image 2,Image 3,Image 1,Image 4,Image 4,Image 3,Image 2,Image 1,Image 1,Image 2,Image 4,Image 3,Image 2,Image 1,Image 4,Image 3,Image 3,Image 2,Image 4,Image 1,Image 2,Image 1,Image 3,Image 4,Image 2,Image 4,Image 1,Image 3,Image 1,Image 4,Image 3,Image 2,Image 1,Image 3,Image 2,Image 4,Image 3,Image 1,Image 4,Image 2,Image 2,Image 4,Image 1,Image 3,Image 2,Image 1,Image 3,Image 4,Image 3,Image 4,Image 2,Image 1,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 2,Image 1,Image 4,Colors and clearity of the motive (no clouds in front for example)
09/06/2023 15:41:29,I consent,Image 1,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 2,Image 1,Image 2,Image 3,Image 4,Image 4,Image 3,Image 2,Image 1,Image 3,Image 4,Image 2,Image 1,Image 1,Image 2,Image 4,Image 3,Image 3,Image 2,Image 1,Image 4,Image 3,Image 1,Image 2,Image 4,Image 2,Image 1,Image 3,Image 4,Image 3,Image 1,Image 2,Image 4,Image 2,Image 3,Image 1,Image 4,Image 2,Image 3,Image 1,Image 4,Image 1,Image 3,Image 2,Image 4,Image 1,Image 4,Image 3,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 1,Image 2,Image 4,
09/06/2023 15:49:02,I consent,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 1,Image 2,Image 1,Image 3,Image 4,Image 3,Image 4,Image 2,Image 1,Image 3,Image 2,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,Image 2,Image 4,Image 3,Image 1,Image 1,Image 2,Image 3,Image 4,Image 4,Image 1,Image 3,Image 2,Image 2,Image 4,Image 3,Image 1,Image 2,Image 3,Image 1,Image 4,Image 4,Image 3,Image 1,Image 2,Image 3,Image 2,Image 1,Image 4,Image 1,Image 3,Image 4,Image 2,Image 4,Image 1,Image 2,Image 3,
